student_id,student_name,neighborhood,latitude,longitude,grade,cluster
33,Hira,G-11 Islamabad,33.682017,72.980487,7,1
34,Mahnoor,G-11 Islamabad,33.67563,72.968088,6,1
35,Bilal,G-11 Islamabad,33.677564,72.980532,8,1
36,Laiba,G-11 Islamabad,33.672661,72.970047,7,1
37,Fatima,G-11 Islamabad,33.684672,72.966511,5,1
38,Zain,G-11 Islamabad,33.677579,72.969954,4,1
39,Usman,G-11 Islamabad,33.676302,72.981487,6,1
40,Laiba,G-11 Islamabad,33.676718,72.981949,6,1
41,Hamza,G-11 Islamabad,33.674929,72.974356,7,1
42,Hamza,G-11 Islamabad,33.675457,72.96699,4,1
43,Hassan,G-11 Islamabad,33.678943,72.967224,3,1
44,Mahnoor,G-11 Islamabad,33.68105,72.977291,4,1
45,Zainab,G-11 Islamabad,33.68667,72.970273,5,1
46,Sara,G-11 Islamabad,33.676814,72.970275,7,1
47,Omar,G-11 Islamabad,33.681017,72.976536,3,1
48,Iqra,G-11 Islamabad,33.673311,72.974531,7,1
49,Zainab,G-11 Islamabad,33.684634,72.971615,5,1
50,Laiba,G-11 Islamabad,33.682278,72.979352,6,1
51,Bilal,G-11 Islamabad,33.685948,72.972761,4,1
52,Noor,G-11 Islamabad,33.684303,72.977211,8,1
53,Iqra,G-11 Islamabad,33.682033,72.970057,4,1
54,Hamza,G-11 Islamabad,33.686615,72.974666,4,1
55,Hassan,G-11 Islamabad,33.68684,72.981847,7,-1
56,Usman,G-11 Islamabad,33.685022,72.969419,5,1
57,Laiba,G-11 Islamabad,33.682106,72.979947,8,1
58,Omar,G-11 Islamabad,33.683378,72.976673,3,1
59,Laiba,G-11 Islamabad,33.673486,72.980777,8,1
60,Ayesha,G-11 Islamabad,33.671047,72.968024,3,1
61,Noor,Satellite Town Rwp,33.617581,73.037173,4,2
62,Usman,Satellite Town Rwp,33.62857,73.045031,6,2
63,Iqra,Satellite Town Rwp,33.628895,73.038396,6,2
64,Ayesha,Satellite Town Rwp,33.623364,73.046507,3,2
65,Zain,Satellite Town Rwp,33.622429,73.043281,8,2
66,Sara,Satellite Town Rwp,33.621743,73.038504,8,2
67,Ahmed,Satellite Town Rwp,33.62379,73.048873,7,2
68,Ali,Satellite Town Rwp,33.625542,73.04383,7,2
69,Zainab,Satellite Town Rwp,33.621183,73.042587,5,2
70,Mahnoor,Satellite Town Rwp,33.629797,73.035298,6,2
71,Sara,Satellite Town Rwp,33.625019,73.039073,5,2
72,Hamza,Satellite Town Rwp,33.629464,73.049849,8,2
73,Ali,Satellite Town Rwp,33.632966,73.050018,6,2
74,Ali,Satellite Town Rwp,33.622211,73.040762,5,2
75,Ayesha,Satellite Town Rwp,33.620212,73.043509,8,2
76,Ahmed,Satellite Town Rwp,33.619055,73.04444,5,2
77,Fatima,Satellite Town Rwp,33.622225,73.039761,3,2
78,Bilal,Satellite Town Rwp,33.619686,73.045943,7,2
79,Noor,Satellite Town Rwp,33.622244,73.041316,3,2
80,Bilal,Satellite Town Rwp,33.627284,73.035906,3,2
81,Fatima,Satellite Town Rwp,33.627546,73.037708,8,2
82,Talha,Satellite Town Rwp,33.630233,73.04884,6,2
83,Zain,Satellite Town Rwp,33.626762,73.041616,3,2
84,Hamza,Satellite Town Rwp,33.619981,73.050309,6,2
85,Omar,Satellite Town Rwp,33.618121,73.039452,6,2
86,Mahnoor,Satellite Town Rwp,33.622726,73.047846,6,2
87,Faizan,Satellite Town Rwp,33.627466,73.035966,6,2
88,Fatima,Satellite Town Rwp,33.624082,73.045792,6,2
89,Hira,Satellite Town Rwp,33.619624,73.050113,8,2
90,Zain,Satellite Town Rwp,33.618157,73.040981,6,2
